"id","language","text"
63,"es","?RT @bdncom: Alcaldesses #Badalona i #Santacoloma @mariadolorsa @nuriaparlon encapçalen la manifestació contra els talls de llum organitzada…"
64,"es","?@sebasnogueres @eloy0107 @Arran_jovent @toni_comin Porto a Bellvitge amb familiar (nofaréfotoscomaquell) dsd dissabte i no veig cap colapse"
65,"es","?RT @sebasnogueres: @sebasnogueres @eloy0107 @Wittgenstein_jm @Arran_jovent @toni_comin la doctora em va dir q no entenia pq la gent no anav…"
66,"es","?RT @vulpivs: @sebasnogueres @eloy0107 @Wittgenstein_jm @Arran_jovent @toni_comin Aquest SI és el puto vell problema de la Sanitat!!"
67,"es","?RT @Arran_jovent: L'atac a la sanitat pública és violència. Perquè la resposta hauria de ser pacífica? Tot el nostre suport a @Endavant_OSA…"
68,"es","?RT @sebasnogueres: @sebasnogueres @eloy0107 @Wittgenstein_jm @Arran_jovent @toni_comin no diuen mai res contra espoli continuat?"
69,"es","?RT @sebasnogueres: @sebasnogueres @eloy0107 @Wittgenstein_jm @Arran_jovent @toni_comin no entenc q no diguin ni piu q calés venen de Madrid…"
70,"es","?RT @vulpivs: @sebasnogueres @eloy0107 @Wittgenstein_jm @Arran_jovent @toni_comin Aquest SI és el puto vell problema de la Sanitat!!"
71,"es","?RT @diba: Busques feina a l’Administració pública? El Cercador d'Informació i Documentació Oficials (CIDO) t’ajuda #DibaOberta https://t.co…"
72,"es","?RT @diba: Busques feina a l’Administració pública? El Cercador d'Informació i Documentació Oficials (CIDO) t’ajuda #DibaOberta https://t.co…"
73,"es","?RT @ObserVallcarca: Les fotos clamen el cel! Aquesta i moltes altres configuren una eina potent de memòria històrica col·lectiva, l'… "
74,"es","?Fem Consell Agrupació @Pdemocratacat #Anoia amb el president Federació @jaumecasanas @marccastells @santibroch https://t.co/MhObgJqYBK"
75,"es","?RT @QuinManso: @sebasnogueres @eloy0107 @Arran_jovent @toni_comin Porto a Bellvitge amb familiar (nofaréfotoscomaquell) dsd dissabte i no v…"
